timestamp,object,alert,confidence,coords
2025-09-05 13:38:11,chair,Info,0.27,"[86.00751495361328, 299.1808166503906, 138.5526123046875, 327.8116760253906]"
2025-09-05 13:38:11,chair,Info,0.27,"[131.05772399902344, 299.93267822265625, 190.4972381591797, 359.7043151855469]"
2025-09-05 13:38:11,person,Info,0.92,"[197.86546325683594, 103.93684387207031, 537.2689208984375, 357.0517578125]"
2025-09-05 13:38:11,person,Info,0.61,"[0.11677081882953644, 288.3623046875, 54.10232925415039, 358.8897705078125]"
2025-09-05 13:38:11,person,Info,0.50,"[0.09951078146696091, 251.50804138183594, 62.353721618652344, 340.80126953125]"
2025-09-05 13:38:11,chair,Info,0.33,"[85.66585540771484, 299.1861877441406, 139.65567016601562, 327.4751281738281]"
2025-09-05 13:38:11,tv,Info,0.28,"[452.2266845703125, 229.19439697265625, 549.656982421875, 285.35040283203125]"
2025-09-05 13:38:11,person,Info,0.92,"[196.91680908203125, 104.04370880126953, 537.0216674804688, 357.0166015625]"
2025-09-05 13:38:11,person,Info,0.58,"[0.12111371010541916, 288.53076171875, 54.49346160888672, 358.78326416015625]"
2025-09-05 13:38:11,chair,Info,0.43,"[128.91273498535156, 300.167236328125, 190.1802520751953, 360.0]"
2025-09-05 13:38:11,person,Info,0.32,"[0.10812613368034363, 251.19940185546875, 59.66633987426758, 348.93902587890625]"
2025-09-05 13:38:11,chair,Info,0.30,"[85.15869140625, 298.96820068359375, 140.11172485351562, 328.0812072753906]"
2025-09-05 13:38:11,tv,Info,0.30,"[451.31256103515625, 229.232421875, 549.5031127929688, 285.22344970703125]"
