frame,class_id,confidence,bbox(xyxy)
38,0,0.8647748827934265,"[56.77320861816406, 54.57429504394531, 554.9600830078125, 479.33978271484375]"
38,27,0.25847718119621277,"[300.896240234375, 313.65399169921875, 378.7738037109375, 479.4171142578125]"
39,0,0.8752267360687256,"[52.94873046875, 54.78007507324219, 552.1925048828125, 479.50750732421875]"
40,0,0.8724408745765686,"[51.07521057128906, 52.369171142578125, 554.865966796875, 479.3889465332031]"
41,0,0.8539879322052002,"[56.63665771484375, 53.71742248535156, 552.413330078125, 479.3994140625]"
42,0,0.8697631359100342,"[56.56126403808594, 52.52629089355469, 553.8323974609375, 479.30487060546875]"
43,0,0.8629391193389893,"[52.83555603027344, 51.13812255859375, 555.8682861328125, 479.3077392578125]"
44,0,0.8290413022041321,"[58.76104736328125, 53.493438720703125, 549.6611328125, 479.5057678222656]"
45,0,0.8205682039260864,"[57.67926025390625, 52.02479553222656, 547.3427734375, 479.4283447265625]"
45,27,0.27571901679039,"[299.78521728515625, 312.2991027832031, 377.43170166015625, 479.4531555175781]"
46,0,0.865534245967865,"[54.2767333984375, 51.657958984375, 555.1599731445312, 479.33001708984375]"
47,0,0.8722214102745056,"[54.66014099121094, 51.52076721191406, 559.843505859375, 479.353515625]"
47,27,0.28308069705963135,"[296.1551513671875, 319.04791259765625, 376.3736572265625, 479.70513916015625]"
48,0,0.8718788623809814,"[52.15576171875, 51.77705383300781, 553.62890625, 479.27935791015625]"
49,0,0.8652375936508179,"[50.01524353027344, 53.70201110839844, 555.072021484375, 479.4007568359375]"
50,0,0.8562242388725281,"[58.6851806640625, 53.21868896484375, 555.237548828125, 479.48785400390625]"
51,0,0.8586217164993286,"[55.07594299316406, 51.33836364746094, 549.8590087890625, 479.4136962890625]"
52,0,0.8725661039352417,"[53.7581787109375, 53.18377685546875, 554.7534790039062, 479.2960205078125]"
53,0,0.8564448952674866,"[50.02784729003906, 52.62657165527344, 554.3048095703125, 479.4080810546875]"
54,0,0.8771912455558777,"[53.55293273925781, 51.66203308105469, 553.4020385742188, 479.37945556640625]"
55,0,0.8712424635887146,"[54.16522216796875, 54.32518005371094, 552.4512939453125, 479.4246826171875]"
56,0,0.8677660226821899,"[55.43731689453125, 51.93583679199219, 559.8243408203125, 479.35284423828125]"
56,27,0.28772127628326416,"[302.2771301269531, 314.7055969238281, 379.6545104980469, 479.5425109863281]"
57,0,0.8600848317146301,"[50.675048828125, 52.7764892578125, 551.9803466796875, 479.36163330078125]"
58,0,0.8710529208183289,"[56.4090576171875, 54.55451965332031, 554.2827758789062, 479.47137451171875]"
59,0,0.8505920767784119,"[56.82794189453125, 51.388427734375, 548.9423217773438, 479.4698486328125]"
60,0,0.8586791753768921,"[57.292236328125, 52.78532409667969, 555.271240234375, 479.50628662109375]"
61,0,0.8762293457984924,"[52.95710754394531, 53.62530517578125, 553.4942016601562, 479.4620361328125]"
62,0,0.8857581615447998,"[55.73747253417969, 51.30238342285156, 553.0939331054688, 479.3250732421875]"
63,0,0.8471615314483643,"[54.90826416015625, 55.26521301269531, 555.3888549804688, 479.38531494140625]"
64,0,0.8548730611801147,"[57.92095947265625, 53.05079650878906, 552.989501953125, 479.330322265625]"
65,0,0.8546672463417053,"[52.89842224121094, 54.30902099609375, 551.9931640625, 479.38348388671875]"
66,0,0.8700509071350098,"[59.27203369140625, 53.12965393066406, 554.2869262695312, 479.5570068359375]"
67,0,0.8722591400146484,"[54.09590148925781, 51.651214599609375, 561.6294555664062, 479.2909851074219]"
68,0,0.8603575825691223,"[57.2847900390625, 52.98771667480469, 554.0769653320312, 479.28143310546875]"
69,0,0.8642491698265076,"[54.913330078125, 53.16197204589844, 554.9700927734375, 479.303955078125]"
69,27,0.27996495366096497,"[297.31158447265625, 310.9588623046875, 380.58184814453125, 479.608642578125]"
70,0,0.8753325939178467,"[56.21842956542969, 53.41978454589844, 557.6693725585938, 479.39306640625]"
71,0,0.8695874810218811,"[58.242919921875, 54.60888671875, 552.9310302734375, 479.43463134765625]"
71,27,0.29905590415000916,"[304.0292053222656, 313.3743896484375, 379.4515686035156, 479.44219970703125]"
72,0,0.8357999324798584,"[55.97575378417969, 53.23663330078125, 556.2271118164062, 479.2373046875]"
72,27,0.2678297460079193,"[302.4564208984375, 321.8089599609375, 382.900634765625, 479.364013671875]"
